Date,HCLTECH,HINDALCO,ULTRACEMCO,UPL,JSWSTEEL,HDFCLIFE,NESTLEIND,TATACONSUM,TATASTEEL,GRASIM,KOTAKBANK,HDFC,HDFCBANK,ICICIBANK,DRREDDY,ADANIENT,BHARTIARTL,INFY,BRITANNIA,SBIN,AXISBANK,WIPRO,SBILIFE,LT,TECHM,BAJAJFINSV,TATAMOTORS,APOLLOHOSP,ONGC,BAJFINANCE,TITAN,BAJAJ-AUTO,M&M,ADANIPORTS,INDUSINDBK,BPCL,COALINDIA,RELIANCE,HINDUNILVR,DIVISLAB,TCS,HEROMOTOCO,SUNPHARMA,ASIANPAINT,CIPLA,POWERGRID,ITC,MARUTI,NTPC,EICHERMOT
4/19/2018,455.5007629,256.1145935,4026.237061,483.574707,276.5544434,498.3882751,8406.573242,274.5783997,25.2369957,1074.68335,1151.424683,1734.611572,940.2218018,281.2220154,2021.961182,89.570755,354.9207764,499.1867065,2434.249512,240.1503754,511.48526,214.6781769,715.4418335,1264.154419,571.1651001,537.5621948,334.25,1103.453125,135.4685516,1892.34375,927.3409424,2442.01709,764.6294556,374.9642944,1785.894043,277.8939514,180.8974152,913.4724121,1341.296997,1136.420776,1431.833862,3105.216553,485.0753784,1125.980103,570.7865601,118.4421692,226.9463348,8605.860352,111.3185196,2765.898682
4/20/2018,475.0884399,253.5509949,4004.111328,481.593689,276.5544434,490.6179199,8421.695313,274.6743469,24.59790421,1071.422729,1150.376953,1711.74646,948.416626,273.9874878,2008.331665,87.07300568,360.8907166,519.2802124,2401.11377,235.3210297,504.3051147,218.7889709,708.7614746,1245.945068,601.4749756,527.6947632,336,1115.254761,134.2902222,1859.804077,931.0395508,2437.53125,762.3409424,369.7261353,1766.310059,274.0932312,186.5504608,899.5129395,1353.841064,1150.388184,1526.641602,3121.145264,481.3601074,1120.519287,575.3282471,117.9299316,226.0053558,8555.946289,109.3122253,2786.343506
4/23/2018,486.5591125,247.2630157,4065.729492,474.0780334,275.6550293,488.5887756,8185.783203,272.0840149,24.61413383,1056.141602,1166.49231,1708.666626,938.6459351,271.3170776,2021.251587,88.36932373,361.6537781,523.3562012,2396.917969,236.5405731,504.8037415,218.2751312,709.5531616,1241.335815,602.7628784,528.4584351,334.0499878,1113.484375,133.33284,1878.546631,937.2689819,2437.061523,785.9884033,374.7703552,1826.279907,281.4363403,185.1132355,907.3650513,1339.959595,1135.168457,1529.423706,3100.713379,489.8860779,1139.221069,586.1696167,117.7022552,225.4325714,8593.723633,108.8419952,2778.873779
4/24/2018,474.9094238,229.0278625,4041.739502,468.35495,278.1820374,494.4783325,8109.212402,271.6523132,24.2469101,1051.567139,1163.498779,1735.451538,938.2822876,275.881073,2035.069702,87.19947815,364.7061157,508.7268372,2389.767822,234.735672,503.4574585,210.6408081,738.3034668,1257.765259,586.1913452,541.7996216,331.5499878,1088.553589,134.5111542,1896.794678,936.2955933,2466.668457,799.5759888,380.4934998,1829.203003,283.1707153,185.560379,940.3734131,1346.323975,1134.97583,1519.103638,3099.629395,493.2678528,1130.908936,587.8789063,117.5030518,225.8417206,8593.535156,108.3717728,2785.274414
4/25/2018,477.9729004,224.4811707,4056.99707,467.8517761,275.5694275,505.4161682,8028.782715,277.3606873,23.78635979,1033.998779,1165.344727,1726.072021,931.3723755,270.8315735,2004.640503,86.97817993,376.9153442,511.3045959,2425.001465,231.4185333,497.025238,210.7876129,758.196106,1243.982788,589.3682861,542.4634399,328.6000061,1070.260864,132.1545258,1879.041138,935.2248535,2478.246582,814.164856,380.1539917,1800.314087,284.720459,185.8478241,940.8096924,1345.908813,1118.214844,1557.062866,3099.879639,489.6955566,1124.095215,579.2350464,118.0153122,224.2870026,8470.244141,107.7447739,2750.405518
4/26/2018,481.7741394,226.3675385,4002.688477,471.845459,280.7090149,527.6382446,8312.265625,279.3754272,23.4617424,1040.666138,1183.156372,1726.958618,935.9790039,270.7829895,1965.693115,88.87518311,367.3544617,518.3990479,2424.144287,227.5160217,492.3880615,206.5300446,754.9301758,1229.652588,593.4038086,532.9752808,330.25,1059.098511,133.1487427,1871.375977,943.6442261,2465.087891,818.2650757,385.1980896,1833.587524,284.4990845,185.7520142,945.5112915,1375.470703,1128.23291,1588.022461,3137.11499,488.31427,1116.991577,585.9743652,117.8161011,227.6828003,8481.478516,107.838829,2791.397461
4/27/2018,465.8312378,227.2865601,3985.9104,474.4240112,280.6233215,513.8793945,8329.498047,280.2388,23.9324379,1057.796387,1186.199951,1730.038452,932.6573486,279.5711975,1985.474487,89.66561127,366.95047,522.2546387,2463.55127,236.6869202,537.7127075,202.7128754,751.020874,1257.537109,575.7160034,542.5582886,336.8999939,1054.672852,133.0751038,1880.326904,944.1308594,2518.235596,822.6036987,390.3878174,1836.315552,287.9307251,183.1650085,965.8203735,1359.513672,1145.041992,1548.851929,3096.794434,499.3171387,1142.023926,585.8765869,118.3283386,228.6237946,8326.855469,107.0551147,2826.650635
4/30/2018,470.7952271,227.9637146,4031.535156,459.0155334,278.3961487,512.7905273,8637.292969,285.4675293,24.14141083,1064.512207,1208.501953,1757.569824,942.7918091,275.978241,1996.926758,88.59062958,367.6686096,528.5558472,2487.213135,240.3942871,515.8731079,204.62146,735.4334106,1278.667114,575.8016357,547.28479,340.3999939,1072.965454,132.9646301,1886.805176,955.6161499,2522.892334,832.7108765,395.0924072,1849.27417,285.8643494,182.0471802,933.8299561,1391.750366,1153.518799,1584.814209,3112.43042,503.3657837,1161.450806,593.2506714,118.2998886,230.3012543,8356.813477,107.9328842,2789.912842
5/2/2018,447.428772,220.6116333,3940.923096,461.2481689,269.9586182,504.7727966,8457.775391,280.8624573,23.31160736,1066.507446,1254.153809,1783.094482,955.0113525,268.8893738,2004.829956,81.82460785,366.6811523,527.4762573,2447.445557,235.1259155,522.3052979,202.2724457,738.8477783,1280.720947,568.8897705,542.7229004,336.0499878,1062.196655,132.5963898,1884.233521,938.7775879,2534.299561,823.0327148,389.0782776,1820.336548,281.1411438,179.17276,942.9423828,1357.668945,1145.138306,1570.299438,3055.598145,490.7910767,1181.360718,597.7435913,116.7631607,235.0472107,8290.026367,106.8356934,2730.305664
5/3/2018,413.9778748,223.9974518,3920.170898,445.2107849,273.5135498,490.9644165,8363.46582,275.0101624,23.75592613,1058.477539,1230.904053,1794.387085,954.2354736,273.744751,2007.574707,79.92759705,363.0452881,521.0869751,2407.768311,236.0039673,531.928772,199.2627563,724.447937,1257.537109,560.6468506,539.2441406,333.5,1051.62439,133.3696899,1853.770874,933.7648926,2542.203369,824.8920288,385.1011353,1829.933716,278.7426453,176.9051666,932.1819458,1339.452393,1154.337646,1562.267578,3048.509766,510.6054993,1166.331665,595.1065063,117.5030518,233.2061462,8300.879883,109.2808762,2672.711426
